seq,cycle_duration_us,period_interval_us,read_duration_us,controller_duration_us,write_duration_us,deadline_missed,ok
248,15417.72,33330.54,8.55,13.31,15393.98,0,1
249,14065.07,33330.93,5.32,9.45,14049.35,0,1
250,12747.09,33340.47,12.16,22.06,12710.77,0,1
251,11394.67,33330.18,11.99,17.32,11362.65,0,1
252,10057.50,33330.49,2.83,8.10,10046.08,0,1
253,8766.83,33334.11,7.34,12.36,8745.80,0,1
254,23380.18,33335.19,9.99,16.92,23351.40,0,1
255,22047.81,33330.33,6.32,13.84,22026.39,0,1
256,20738.15,33332.32,4.70,8.84,20724.02,0,1
257,19405.72,33337.66,9.56,14.08,19379.21,0,1
258,18067.78,33330.69,6.15,12.70,18047.77,0,1
259,16732.66,33398.06,11.79,20.96,16697.63,0,1
260,15402.81,33274.60,19.44,25.81,15353.84,0,1
261,14021.18,33328.49,6.40,13.19,14000.38,0,1
262,12659.99,33336.00,15.25,18.36,12623.25,0,1
263,11310.56,33329.78,7.76,12.11,11289.36,0,1
264,9963.49,33331.51,3.30,8.62,9951.02,0,1
265,8623.75,33334.33,5.33,9.07,8608.04,0,1
266,23259.12,33331.37,2.30,7.19,23249.26,0,1
267,21928.77,33333.76,1.94,6.93,21919.53,0,1
268,20597.26,33333.36,1.83,7.00,20587.90,0,1
269,19260.35,33333.32,1.40,5.44,19253.19,0,1
270,17969.32,33332.74,2.08,7.32,17959.40,0,1
271,16589.97,33336.45,11.70,20.35,16555.68,0,1
272,15247.18,33330.96,5.20,11.08,15229.92,0,1
273,13907.97,33335.40,4.92,11.57,13890.40,0,1
274,12558.66,33331.74,2.71,8.45,12546.76,0,1
275,11228.75,33332.32,2.13,6.13,11220.16,0,1
276,9885.06,33333.59,4.26,9.38,9870.60,0,1
277,8576.09,33339.28,14.15,18.18,8539.55,0,1
278,23196.42,33332.27,11.74,14.81,23167.72,0,1
279,21870.27,33331.29,6.60,12.46,21849.75,0,1
280,20542.49,33334.55,8.78,14.65,20516.79,0,1
281,19184.20,33332.36,5.80,12.13,19165.26,0,1
282,17855.82,33331.24,2.67,9.07,17843.55,0,1
283,16528.91,33333.92,4.19,10.60,16513.24,0,1
284,15159.65,33334.41,5.78,11.80,15141.18,0,1
285,13830.47,33329.23,2.64,7.09,13820.29,0,1
286,12548.55,33335.53,7.72,14.11,12524.80,0,1
287,11163.93,33333.79,6.67,12.84,11142.92,0,1
288,9803.84,33334.83,7.98,11.23,9782.85,0,1
289,8480.61,33331.76,8.45,12.30,8458.86,0,1
290,23096.78,33334.06,9.13,10.25,23075.37,0,1
291,21768.81,33331.30,2.14,6.55,21759.62,0,1
292,20446.87,33338.66,16.36,18.29,20408.36,0,1
