seq,elapsed_us,ok,error,driver1_alarm,driver1_rpm,driver2_alarm,driver2_rpm
514,15999.77,1,0,0,0,0,0
515,15997.93,1,0,0,0,0,0
516,15991.38,1,0,0,0,0,0
517,16003.40,1,0,0,0,0,0
518,15996.40,1,0,0,0,0,0
519,15990.96,1,0,0,0,0,0
520,15998.53,1,0,0,0,0,0
521,16000.80,1,0,0,0,0,0
522,15989.25,1,0,0,0,0,0
523,16000.91,1,0,0,0,0,0
524,15999.81,1,0,0,0,0,0
525,15992.54,1,0,0,0,0,0
526,16001.59,1,0,0,0,0,0
527,15996.04,1,0,0,0,0,0
528,16024.09,1,0,0,0,0,0
529,15979.09,1,0,0,0,0,0
530,15991.96,1,0,0,0,0,0
531,15987.54,1,0,0,0,0,0
532,15999.06,1,0,0,0,0,0
533,15998.25,1,0,0,0,0,0
534,15991.05,1,0,0,0,0,0
535,15999.53,1,0,0,0,0,0
536,16002.06,1,0,0,0,0,0
537,15991.32,1,0,0,0,0,0
538,16000.42,1,0,0,0,0,0
539,15995.65,1,0,0,0,0,0
540,15998.82,1,0,0,0,0,0
541,15987.22,1,0,0,0,0,0
542,15999.73,1,0,0,0,0,0
543,15994.35,1,0,0,0,0,0
544,15995.17,1,0,0,0,0,0
545,15999.05,1,0,0,0,0,0
546,15999.36,1,0,0,0,0,0
547,15992.09,1,0,0,0,0,0
548,15996.02,1,0,0,0,0,0
549,15996.92,1,0,0,0,0,0
550,15999.98,1,0,0,0,0,0
551,16000.67,1,0,0,0,0,0
552,15986.41,1,0,0,0,0,0
553,16000.94,1,0,0,0,0,0
554,16032.07,1,0,0,0,0,0
555,15958.41,1,0,0,0,0,0
556,15999.96,1,0,0,0,0,0
557,15999.13,1,0,0,0,0,0
558,15989.39,1,0,0,0,0,0
559,15998.77,1,0,0,0,0,0
560,16016.05,1,0,0,0,0,0
561,15977.53,1,0,0,0,0,0
562,15997.48,1,0,0,0,0,0
563,16001.19,1,0,0,0,0,0
564,16016.81,1,0,0,0,0,0
565,15972.50,1,0,0,0,0,0
566,16000.33,1,0,0,0,0,0
567,15987.99,1,0,0,0,0,0
568,15999.56,1,0,0,0,0,0
569,16000.42,1,0,0,0,0,0
570,15990.07,1,0,0,0,0,0
571,16001.91,1,0,0,0,0,0
572,15999.84,1,0,0,0,0,0
573,15982.48,1,0,0,0,0,0
574,15997.51,1,0,0,0,0,0
575,15999.79,1,0,0,0,0,0
576,15992.18,1,0,0,0,0,0
577,15997.17,1,0,0,0,0,0
578,16457.74,1,0,0,0,0,0
579,15588.67,1,0,0,0,0,0
580,15941.45,1,0,0,0,0,0
581,16037.40,1,0,0,0,0,0
582,15961.76,1,0,0,0,0,0
583,15992.26,1,0,0,0,0,0
584,16045.27,1,0,0,0,0,0
585,15954.43,1,0,0,0,0,0
586,16030.12,1,0,0,0,0,0
587,15960.51,1,0,0,0,0,0
588,15999.84,1,0,0,0,0,0
589,15990.81,1,0,0,0,0,0
590,16031.91,1,0,0,0,0,0
591,15995.11,1,0,0,0,0,0
592,15966.17,1,0,0,0,0,0
593,15992.79,1,0,0,0,0,0
594,16000.08,1,0,0,0,0,0
595,18425.92,1,0,0,0,0,0
596,13630.01,1,0,0,0,0,0
